2025-06-19 12:30:05 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-06-19 12:30:05 [restartedMain] INFO  c.UserService.UserServiceApplication - Starting UserServiceApplication using Java 21.0.7 with PID 28592 (C:\Documents\Simple\SpringBoot\userservice\target\classes started by 167572 in C:\Documents\Simple\SpringBoot\userservice)
2025-06-19 12:30:05 [restartedMain] DEBUG c.UserService.UserServiceApplication - Running with Spring Boot v3.1.8, Spring v6.0.16
2025-06-19 12:30:05 [restartedMain] INFO  c.UserService.UserServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-06-19 12:30:07 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9991"]
2025-06-19 12:30:07 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-19 12:30:07 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-06-19 12:30:07 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-19 12:30:08 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-19 12:30:08 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.20.Final
2025-06-19 12:30:08 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2025-06-19 12:30:08 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-06-19 12:30:09 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2b7af905
2025-06-19 12:30:09 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-06-19 12:30:10 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-06-19 12:30:11 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2025-06-19 12:30:11 [restartedMain] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-06-19 12:30:11 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2025-06-19 12:30:11 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2025-06-19 12:30:11 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2025-06-19 12:30:11 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2025-06-19 12:30:11 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-06-19 12:30:11 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
2025-06-19 12:30:11 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2025-06-19 12:30:12 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2025-06-19 12:30:12 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2025-06-19 12:30:12 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2025-06-19 12:30:12 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1750316412394 with initial instances count: 0
2025-06-19 12:30:12 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1750316412400, current=UP, previous=STARTING]
2025-06-19 12:30:12 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9991"]
2025-06-19 12:30:12 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_USER-SERVICE/GNWFN13.ap.corp.arrow.com:user-service:9991: registering service...
2025-06-19 12:30:12 [restartedMain] INFO  c.UserService.UserServiceApplication - Started UserServiceApplication in 7.392 seconds (process running for 8.455)
2025-06-19 12:30:12 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_USER-SERVICE/GNWFN13.ap.corp.arrow.com:user-service:9991 - registration status: 204
2025-06-19 12:30:42 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2025-06-19 12:30:42 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2025-06-19 12:30:42 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2025-06-19 12:30:42 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2025-06-19 12:30:42 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-06-19 12:30:42 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: false
2025-06-19 12:30:42 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2025-06-19 12:30:42 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2025-06-19 12:31:27 [RMI TCP Connection(11)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1750316487598, current=DOWN, previous=UP]
2025-06-19 12:31:27 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_USER-SERVICE/GNWFN13.ap.corp.arrow.com:user-service:9991: registering service...
2025-06-19 12:31:27 [RMI TCP Connection(11)-127.0.0.1] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-9991"]
2025-06-19 12:31:27 [RMI TCP Connection(11)-127.0.0.1] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2025-06-19 12:31:27 [RMI TCP Connection(11)-127.0.0.1] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-9991"]
2025-06-19 12:31:27 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_USER-SERVICE/GNWFN13.ap.corp.arrow.com:user-service:9991 - registration status: 204
2025-06-19 12:31:27 [RMI TCP Connection(11)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-06-19 12:31:27 [RMI TCP Connection(11)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-06-19 12:31:27 [RMI TCP Connection(11)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2025-06-19 12:44:59 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-06-19 12:44:59 [restartedMain] INFO  c.UserService.UserServiceApplication - Starting UserServiceApplication using Java 21.0.7 with PID 25844 (C:\Documents\Simple\SpringBoot\userservice\target\classes started by 167572 in C:\Documents\Simple\SpringBoot\userservice)
2025-06-19 12:44:59 [restartedMain] DEBUG c.UserService.UserServiceApplication - Running with Spring Boot v3.1.8, Spring v6.0.16
2025-06-19 12:44:59 [restartedMain] INFO  c.UserService.UserServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-06-19 12:45:01 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9991"]
2025-06-19 12:45:01 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-19 12:45:01 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-06-19 12:45:01 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-19 12:45:01 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-19 12:45:01 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.20.Final
2025-06-19 12:45:01 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2025-06-19 12:45:01 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-06-19 12:45:01 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6b9f1252
2025-06-19 12:45:01 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-06-19 12:45:03 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
